group,metric,n,period,post_sig_count,post_sig_pct,trend_sig_count,trend_sig_pct,post_pos_sig_pct,post_neg_sig_pct,trend_pos_sig_pct,trend_neg_sig_pct,post_pos_share_among_sig,trend_pos_share_among_sig,mean_coef_post,median_coef_post,mean_coef_trend,median_coef_trend,mean_coef_post_sig_only,mean_coef_trend_sig_only
Java,total_commits,6,weeks,0,0.0,1,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,,1.0,-2.3875034040837466,-0.6796939290520451,-0.16707592499643287,0.005603110761864569,,0.056091269975689015
Ocaml,total_commits,1,weeks,0,0.0,1,1.0,0.0,0.0,0.0,1.0,,0.0,-1.1954194599971053,-1.1954194599971053,-0.6885746061998584,-0.6885746061998584,,-0.6885746061998584
Bash,total_commits,56,weeks,3,0.05357142857142857,6,0.10714285714285714,0.017857142857142856,0.03571428571428571,0.0,0.10714285714285714,0.3333333333333333,0.0,-0.3562234120012183,-0.09799457225660964,-0.1680531214262738,-0.015696771945967216,-6.0761781716739955,-1.243378126880663
PHP,total_commits,1,weeks,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,,-3.9955929538418227,-3.9955929538418227,-4.688798561393617,-4.688798561393617,,
C,total_commits,13,weeks,1,0.07692307692307693,3,0.23076923076923078,0.0,0.07692307692307693,0.07692307692307693,0.15384615384615385,0.0,0.3333333333333333,-1.3986982553630654,-0.3546165841967294,-0.5647297701782797,0.006989184633806457,-8.5433469511935,-0.20487981410571413
Dart,total_commits,5,weeks,0,0.0,1,0.2,0.0,0.0,0.0,0.2,,0.0,3.671838668657101,-0.6760774842658092,-1.0570355353206617,-0.3477088873475882,,-0.23871474112289368
CSS,total_commits,45,weeks,3,0.06666666666666667,4,0.08888888888888889,0.022222222222222223,0.044444444444444446,0.06666666666666667,0.022222222222222223,0.3333333333333333,0.75,-0.6194737172346633,-0.5676467227037196,0.0430695318923745,0.018721378032980327,-0.42150115983464204,0.14693067460837356
Elixir,total_commits,1,weeks,0,0.0,1,1.0,0.0,0.0,0.0,1.0,,0.0,-5.346237900422502,-5.346237900422502,-0.48889979760190677,-0.48889979760190677,,-0.48889979760190677
Swift,total_commits,5,weeks,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,,-0.8558416938520779,-0.7396316894275741,-0.0243335137207986,0.0017853526655692029,,
All,total_commits,108,weeks,12,0.1111111111111111,30,0.2777777777777778,0.05555555555555555,0.05555555555555555,0.037037037037037035,0.24074074074074073,0.5,0.13333333333333333,-1.6063593578603599,-0.9689750385541325,-1.2141534270628795,-0.3557396950578207,-6.232155386134657,-2.23471715623119
Javascript,files_touched_per_commit,65,weeks,3,0.046153846153846156,11,0.16923076923076924,0.015384615384615385,0.03076923076923077,0.046153846153846156,0.12307692307692308,0.3333333333333333,0.2727272727272727,-2.3327896760001097,-0.7781531156095578,0.5791298597973045,-0.03161761712083323,-7.724036975436079,0.3372507696980762
Python,files_touched_per_commit,49,weeks,3,0.061224489795918366,8,0.16326530612244897,0.02040816326530612,0.04081632653061224,0.0,0.16326530612244897,0.3333333333333333,0.0,-16.51928497010935,-0.5264570463656421,21.790552526269312,-0.04830167748756787,-2.718861887160232,-0.579379023553866
Rust,files_touched_per_commit,8,weeks,1,0.125,2,0.25,0.0,0.125,0.125,0.125,0.0,0.5,-2.3991852004015524,-2.2632968141969316,-0.12266152621443649,-0.1085667569126802,-6.477473312485848,-0.08155580020037245
HTML,files_touched_per_commit,32,weeks,1,0.03125,1,0.03125,0.0,0.03125,0.03125,0.0,0.0,1.0,0.18884998394307034,-0.2307449835534034,-0.09968724086721038,0.018697864496249692,-0.733509492260066,0.07125234743193336
Go,files_touched_per_commit,13,weeks,1,0.07692307692307693,2,0.15384615384615385,0.0,0.07692307692307693,0.0,0.15384615384615385,0.0,0.0,-3.656759627441445,-4.04413519684987,-0.3943210132746042,-0.05566316249491662,-5.455125110018349,-0.9948980713464413
