repository,url,branch,branch_hash,artifact_original_name,artifact_creation_commit,artifact_creation_date,commits_before,commits_after,total_commits
claudex,https://github.com/mng-dev-ai/claudex.git,main,ba1d56152344b16cb9ca9c3978e5c34b3ebfaa19e1f4e6f4c573deb7,CLAUDE.md,20553f2594505c1b3da640dac3fef035316b9d77,2025-12-15 02:47:09,0,505,505
clawdhub,https://github.com/clawdbot/clawdhub.git,main,2c3986f0588b8e74fee291a5b2ead29d58fc885f7b6b7d41392252ef,AGENTS.md,63d94a06a750245ec256ca46728b102aeb6c79e8,2026-01-03 19:38:18,10,522,532
cline,https://github.com/cline/cline.git,main,820b30227c88495331bf32616864231aabca78ddd27d4ee3819c9690,CLAUDE.md,b15c364a62882647b750177a4b3658f73946e767,2025-12-01 22:02:33,4144,700,4844
code,https://github.com/just-every/code.git,main,c820ecab3050356f1236b9ac429554fb91b6252f39135975fa3354f3,AGENTS.md,2b122da087e5515462733e54d540dec88b6ab134,2025-05-10 17:52:59,310,7644,7954
code-snippets,https://github.com/ServiceNowDevProgram/code-snippets.git,main,36ac1fa657b23df37ca07fa7ca7c1143e0105cc2741a8e3385685aa8,CLAUDE.md,aa5ac63a944a79ce22bc56b3609c13ebf31fbc97,2025-07-02 13:54:43,3594,657,4251
codex,https://github.com/openai/codex.git,main,f7255e214be719a80758a81b7bd9532ea9aad90f94dbdd85246e7c7d,AGENTS.md,2b122da087e5515462733e54d540dec88b6ab134,2025-05-10 17:52:59,310,3483,3793
colonies,https://github.com/colonyos/colonies.git,main,306ff3ea3fc8de58c955ddf1bcdd45a24b801a69b85e00c6c6106502,CLAUDE.md,ca01fa6bd0ceadd0a8b0bcd052050917df0c7f31,2025-08-30 20:26:15,719,71,790
compiled,https://github.com/atlassian-labs/compiled.git,master,99bbdf76d3acc0257950df7ca10f9f78dc4237f0f93cdb3dc1c7a24d,AGENTS.md,3491ac1bc12758c56eea480558a2bc038f2c8be8,2025-12-01 14:51:54,1631,13,1644
connect-mongo,https://github.com/jdesboeufs/connect-mongo.git,master,ca5e49d72c581ff55654d102cd3f3f80072b65038dc00a6e1d0f0bfd,AGENTS.md,a0277f77c73995b862615b993f6c91f0a9c5e1e7,2025-11-15 16:00:00,518,34,552
control-layer,https://github.com/doublewordai/control-layer.git,main,327b65de2edaa66abbdd3b4df096956a537e0af266d7022ccf669fc6,CLAUDE.md,5363523ce4565f3dc1c5ed850272c4dfcdfda10c,2025-11-19 08:21:56,129,489,618
coolify,https://github.com/coollabsio/coolify.git,v4.x,aad5bbcc309d71ff652ee23c4e82caa22481f197ac28e5ecca02de62,CLAUDE.md,0b847928717f8c19f2d084852757e0a5f5afe188,2025-07-13 12:36:53,11898,2642,14540
customerio-android,https://github.com/customerio/customerio-android.git,main,1c0efc94651ebb8a17b0b6399a39cd089935ea2269e4b4bd0f56eea8,AGENTS.md,b2145b44c9ae4fbf40bf5ae8ee11a20086ede37e,2025-05-29 15:02:12,542,47,589
