extension,file_count,will_include,grouping,description
"""pages""",3,FALSE,,
"""rds""",3,FALSE,,
"""runtest""",3,FALSE,,
"""prof""",3,FALSE,,
"""sublime-project""",3,FALSE,,
"""bazelignore""",3,FALSE,,
"""fig""",3,FALSE,,
"""jupyterlab-settings""",3,FALSE,,
"""cmo""",3,FALSE,,
"""odocl""",3,FALSE,,
"""build""",3,FALSE,,
"""""",3,FALSE,,
"""semgrepignore""",3,FALSE,,
"""reference-flat""",3,FALSE,,
"""reference-noflat""",3,FALSE,,
"""cljx""",3,FALSE,,
"""prod""",3,FALSE,,
"""zlogout""",3,FALSE,,
"""netrwhist""",3,FALSE,,
"""bkp""",3,FALSE,,
"""alpine""",3,FALSE,,
"""tsbuildinfo""",3,FALSE,,
"""cake""",3,FALSE,,
"""libsonnet""",3,FALSE,,
"""lib""",3,FALSE,,
"""cuh""",3,FALSE,,
"""pot""",3,FALSE,,
"""pd""",3,FALSE,,
"""sface""",3,FALSE,,
"""watchmanconfig""",3,FALSE,,
"""path""",3,FALSE,,
"""fvmrc""",3,FALSE,,
"""pxm""",3,FALSE,,
"""cginc""",3,FALSE,,
"""pos""",3,FALSE,,
"""evp""",3,FALSE,,
"""for""",3,FALSE,,
"""mdfrc""",3,FALSE,,
"""vasp""",3,FALSE,,
"""orb""",3,FALSE,,
"""lyrdb""",3,FALSE,,
"""3""",3,FALSE,,
"""biomeignore""",3,FALSE,,
"""vhd""",3,FALSE,,
"""cxx""",3,FALSE,,
"""terminal""",3,FALSE,,
"""clr""",3,FALSE,,
"""rst_t""",3,FALSE,,
"""20260119t120929""",3,FALSE,,
"""20260122t094706""",3,FALSE,,
"""20260125t045620""",3,FALSE,,
"""20260125t170925""",3,FALSE,,
"""20260207t200131""",3,FALSE,,
"""must_match""",3,FALSE,,
"""suppressions""",3,FALSE,,
"""so""",3,FALSE,,
"""jst""",3,FALSE,,
"""pptx""",3,FALSE,,
"""ox""",3,FALSE,,
"""mpk""",3,FALSE,,
"""bundle""",2,FALSE,,
"""covrignore""",2,FALSE,,
"""natvis""",2,FALSE,,
"""mpac""",2,FALSE,,
"""pyx""",2,FALSE,,
"""aa""",2,FALSE,,
"""ab""",2,FALSE,,
"""01""",2,FALSE,,
"""02""",2,FALSE,,
"""cp""",2,FALSE,,
"""yapf""",2,FALSE,,
"""agignore""",2,FALSE,,
"""lz4""",2,FALSE,,
"""phpold""",2,FALSE,,
"""gen""",2,FALSE,,
"""network""",2,FALSE,,
"""ubuntu""",2,FALSE,,
"""markdownlintignore""",2,FALSE,,
"""gyp""",2,FALSE,,
"""aiderignore""",2,FALSE,,
"""xcstrings""",2,FALSE,,
"""sass""",2,FALSE,,
"""htpasswd""",2,FALSE,,
"""owl""",2,FALSE,,
"""tree""",2,FALSE,,
"""gcloudignore""",2,FALSE,,
"""polar""",2,FALSE,,
"""n3""",2,FALSE,,
"""jsonnet""",2,FALSE,,
"""codespellignore""",2,FALSE,,
"""sse""",2,FALSE,,
"""lark""",2,FALSE,,
"""trigger""",2,FALSE,,
"""shexj""",2,FALSE,,
"""asc""",2,FALSE,,
"""does-not-work""",2,FALSE,,
"""odt""",2,FALSE,,
"""header""",2,FALSE,,
"""classpath""",2,FALSE,,
"""project""",2,FALSE,,
"""whitesource""",2,FALSE,,
"""tfvars""",2,FALSE,,
"""todo""",2,FALSE,,
"""name""",2,FALSE,,
"""jsp""",2,FALSE,,
"""tape""",2,FALSE,,
"""codexpolicy""",2,FALSE,,
"""depend""",2,FALSE,,
"""foo""",2,FALSE,,
